target_feature,learning_seed,n_samples_per_state,n_pairs,cell_state,present_H3_rate,absent_H3_rate,present_minus_absent_H3_rate,disagreement_h3_rate,present_only_h3_rate,absent_only_h3_rate,both_pass_h3_rate,both_fail_h3_rate,mean_baseline_safe_midpoint,mean_safe_gain_midpoint,mean_risky_drop_midpoint,mean_abs_baseline_safe_gap,mean_abs_safe_gain_gap,mean_abs_risky_drop_gap,disagreement_mean_baseline_safe_midpoint,tied_mean_baseline_safe_midpoint,disagreement_mean_abs_safe_gain_gap,tied_mean_abs_safe_gain_gap
edge__benign_assessed__clarify,6,600,16,mixed_but_tied,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.9375,0.544704861111111,0.098046875,0.0528645833333333,0.009722222222222236,0.00720486111111115,0.004166666666666662,,0.544704861111111,,0.00720486111111115
edge__benign_assessed__clarify,6,1200,16,edge_sensitive,0.0,0.0625,-0.0625,0.0625,0.0,0.0625,0.0,0.9375,0.5344184027777777,0.09296874999999998,0.05104166666666663,0.012239583333333325,0.011979166666666718,0.004861111111111125,0.3222222222222222,0.5485648148148148,0.03472222222222229,0.01046296296296301
edge__benign_assessed__clarify,6,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5288194444444444,0.09882812499999999,0.04908854166666663,0.020312500000000018,0.021440972222222222,0.005989583333333343,,0.5288194444444444,,0.021440972222222222
edge__benign_assessed__clarify,7,600,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3329861111111111,0.28263888888888883,0.27912326388888886,0.03368055555555556,0.0467013888888889,0.02092013888888894,,0.3329861111111111,,0.0467013888888889
edge__benign_assessed__clarify,7,1200,16,edge_sensitive,1.0,0.9375,0.0625,0.0625,0.0625,0.0,0.9375,0.0,0.3320746527777777,0.2828559027777777,0.27473958333333326,0.025954861111111074,0.017621527777777743,0.019618055555555583,0.3402777777777778,0.3315277777777777,0.029166666666666674,0.016851851851851816
edge__benign_assessed__clarify,7,2400,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34049479166666663,0.2789496527777777,0.2725694444444444,0.02335069444444443,0.025086805555555525,0.02031250000000001,,0.34049479166666663,,0.025086805555555525
edge__risky_assessed__refuse,0,600,16,edge_sensitive,0.3125,1.0,-0.6875,0.6875,0.0,0.6875,0.3125,0.0,0.4595920138888889,0.19522569444444438,0.3095920138888889,0.08619791666666667,0.10694444444444445,0.15043402777777778,0.47657828282828285,0.4222222222222222,0.12260101010101007,0.07250000000000005
edge__risky_assessed__refuse,0,1200,16,edge_sensitive,0.375,1.0,-0.625,0.625,0.0,0.625,0.375,0.0,0.4609375,0.19492187499999997,0.3122829861111111,0.0748263888888889,0.09331597222222218,0.15512152777777777,0.4774305555555555,0.4334490740740741,0.10083333333333326,0.08078703703703705
edge__risky_assessed__refuse,0,2400,16,edge_sensitive,0.3125,1.0,-0.6875,0.6875,0.0,0.6875,0.3125,0.0,0.45251736111111107,0.1977864583333333,0.31328124999999996,0.08697916666666666,0.10633680555555554,0.16163194444444445,0.4691287878787879,0.41597222222222224,0.11957070707070704,0.0772222222222223
edge__risky_assessed__refuse,1,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5767795138888889,0.04661458333333328,0.07543402777777773,0.02803819444444444,0.023090277777777772,0.004166666666666674,,0.5767795138888889,,0.023090277777777772
edge__risky_assessed__refuse,1,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5619791666666667,0.050086805555555516,0.07894965277777774,0.015972222222222252,0.016493055555555542,0.005468750000000013,,0.5619791666666667,,0.016493055555555542
edge__risky_assessed__refuse,1,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5614149305555556,0.0582899305555555,0.07790798611111106,0.01467013888888892,0.014322916666666675,0.003906250000000019,,0.5614149305555556,,0.014322916666666675
edge__risky_assessed__refuse,2,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36987847222222214,0.06171874999999996,0.1278645833333333,0.04027777777777779,0.025520833333333343,0.03628472222222226,,0.36987847222222214,,0.025520833333333343
edge__risky_assessed__refuse,2,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3560329861111111,0.08016493055555551,0.14600694444444443,0.058593750000000014,0.018489583333333337,0.04774305555555558,,0.3560329861111111,,0.018489583333333337
edge__risky_assessed__refuse,2,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3570746527777778,0.0893663194444444,0.1526041666666666,0.0525173611111111,0.022829861111111092,0.054687500000000014,,0.3570746527777778,,0.022829861111111092
edge__risky_assessed__refuse,3,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16835937499999998,0.010546874999999987,0.16215277777777776,0.19626736111111115,0.04019097222222211,0.1550347222222222,,0.16835937499999998,,0.04019097222222211
edge__risky_assessed__refuse,3,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16085069444444441,0.01753472222222221,0.18168402777777773,0.18055555555555555,0.04913194444444437,0.17343750000000002,,0.16085069444444441,,0.04913194444444437
edge__risky_assessed__refuse,3,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16302083333333328,0.019921874999999988,0.18029513888888887,0.18836805555555552,0.050607638888888806,0.16006944444444443,,0.16302083333333328,,0.050607638888888806
edge__risky_assessed__refuse,4,600,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17265624999999996,0.28598090277777777,0.38407118055555556,0.007638888888888895,0.02335069444444443,0.004947916666666684,,0.17265624999999996,,0.02335069444444443
edge__risky_assessed__refuse,4,1200,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17838541666666663,0.2667100694444444,0.37760416666666663,0.0069444444444444475,0.02387152777777778,0.0062500000000000056,,0.17838541666666663,,0.02387152777777778
edge__risky_assessed__refuse,4,2400,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18862847222222218,0.28033854166666666,0.37921006944444446,0.008506944444444473,0.03793402777777776,0.007378472222222238,,0.18862847222222218,,0.03793402777777776
edge__risky_assessed__refuse,5,600,16,edge_sensitive,0.25,1.0,-0.75,0.75,0.0,0.75,0.25,0.0,0.3915364583333333,0.19296874999999997,0.3502604166666667,0.058072916666666696,0.12361111111111112,0.12743055555555552,0.4103009259259258,0.33524305555555556,0.12141203703703703,0.13020833333333331
edge__risky_assessed__refuse,5,1200,16,edge_sensitive,0.25,1.0,-0.75,0.75,0.0,0.75,0.25,0.0,0.3888454861111111,0.2061197916666666,0.3485677083333333,0.0709201388888889,0.1368923611111111,0.1323784722222222,0.4034722222222222,0.34496527777777775,0.13483796296296297,0.14305555555555552
edge__risky_assessed__refuse,5,2400,16,edge_sensitive,0.125,1.0,-0.875,0.875,0.0,0.875,0.125,0.0,0.38845486111111105,0.1971788194444444,0.3431857638888889,0.06718749999999998,0.12682291666666667,0.13394097222222218,0.3940476190476191,0.34930555555555554,0.11706349206349209,0.19513888888888892
edge__risky_assessed__refuse,6,600,16,edge_sensitive,0.0625,0.125,-0.0625,0.0625,0.0,0.0625,0.0625,0.875,0.5276909722222223,0.10677083333333334,0.05950520833333329,0.02690972222222218,0.017013888888888818,0.012760416666666649,0.4722222222222222,0.5313888888888889,0.05138888888888879,0.014722222222222154
edge__risky_assessed__refuse,6,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5188368055555556,0.10117187499999998,0.056814236111111076,0.022048611111111113,0.018663194444444465,0.011371527777777762,,0.5188368055555556,,0.018663194444444465
edge__risky_assessed__refuse,6,2400,16,edge_sensitive,0.0,0.0625,-0.0625,0.0625,0.0,0.0625,0.0,0.9375,0.512109375,0.10976562499999999,0.056901041666666624,0.01449652777777775,0.009288194444444415,0.013628472222222205,0.5083333333333333,0.5123611111111112,0.026388888888888712,0.008148148148148128
edge__risky_assessed__refuse,7,600,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.289453125,0.28146701388888884,0.31271701388888884,0.06432291666666667,0.07213541666666665,0.060503472222222215,,0.289453125,,0.07213541666666665
edge__risky_assessed__refuse,7,1200,16,edge_sensitive,1.0,0.9375,0.0625,0.0625,0.0625,0.0,0.9375,0.0,0.29127604166666665,0.26618923611111106,0.2990017361111111,0.08064236111111112,0.057204861111111116,0.04487847222222221,0.2847222222222222,0.29171296296296295,0.14027777777777778,0.05166666666666669
edge__risky_assessed__refuse,7,2400,16,edge_sensitive,1.0,0.9375,0.0625,0.0625,0.0625,0.0,0.9375,0.0,0.2973090277777778,0.2720920138888888,0.30533854166666663,0.08940972222222225,0.048177083333333336,0.06501736111111109,0.27777777777777773,0.29861111111111105,0.14305555555555552,0.041851851851851855
