learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal,present_only_h3,absent_only_h3,both_pass_h3,both_fail_h3,disagreement_h3,baseline_safe_midpoint,safe_gain_midpoint,risky_drop_midpoint,abs_baseline_safe_gap,abs_safe_gain_gap,abs_risky_drop_gap,pair_h3_outcome
2,1200,2002,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.3736111111111111,0.3861111111111111,-0.0125,0.0791666666666666,0.0611111111111111,0.0180555555555555,0.1111111111111111,0.1041666666666666,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3798611111111111,0.07013888888888885,0.10763888888888885,0.012500000000000011,0.01805555555555549,0.006944444444444503,both_fail
2,1200,2003,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.3722222222222222,0.3888888888888889,-0.0166666666666666,0.0791666666666666,0.0652777777777778,0.0138888888888888,0.1194444444444444,0.1152777777777777,0.0041666666666666,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.38055555555555554,0.07222222222222219,0.11736111111111105,0.01666666666666672,0.013888888888888798,0.0041666666666666935,both_fail
2,1200,2004,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3263888888888889,0.3319444444444444,-0.0055555555555555,0.1194444444444444,0.1055555555555555,0.0138888888888888,0.0902777777777777,0.0888888888888888,0.0013888888888888,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3291666666666666,0.11249999999999995,0.08958333333333325,0.00555555555555548,0.013888888888888895,0.0013888888888889117,both_fail
2,1200,2005,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4472222222222222,0.4583333333333333,-0.0111111111111111,0.0541666666666666,0.0569444444444444,-0.0027777777777777,0.1541666666666666,0.1458333333333333,0.0083333333333333,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0027777777777777,False,False,False,True,False,0.4527777777777777,0.0555555555555555,0.14999999999999994,0.011111111111111127,0.0027777777777778026,0.008333333333333304,both_fail
2,1200,2006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3111111111111111,0.3138888888888889,-0.0027777777777777,0.0833333333333333,0.1041666666666666,-0.0208333333333333,0.1486111111111111,0.1430555555555555,0.0055555555555555,True,True,True,True,False,False,True,True,False,False,0.0027777777777777,0.0027777777777777,False,False,False,True,False,0.3125,0.09374999999999994,0.14583333333333331,0.002777777777777768,0.0208333333333333,0.005555555555555619,both_fail
2,1200,2007,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3125,0.3111111111111111,0.0013888888888888,0.0958333333333333,0.1166666666666666,-0.0208333333333333,0.1611111111111111,0.1541666666666666,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.31180555555555556,0.10624999999999996,0.15763888888888883,0.001388888888888884,0.0208333333333333,0.006944444444444503,both_fail
2,1200,2008,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3819444444444444,0.3874999999999999,-0.0055555555555555,0.0944444444444444,0.0902777777777777,0.0041666666666666,0.0916666666666666,0.0972222222222222,-0.0055555555555555,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3847222222222222,0.09236111111111106,0.0944444444444444,0.00555555555555548,0.0041666666666666935,0.005555555555555591,both_fail
2,1200,2009,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3763888888888889,0.3902777777777778,-0.0138888888888888,0.0763888888888889,0.0625,0.0138888888888888,0.1138888888888889,0.1069444444444444,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3833333333333333,0.06944444444444445,0.11041666666666665,0.013888888888888895,0.013888888888888895,0.006944444444444503,both_fail
2,1200,2010,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.375,0.3875,-0.0125,0.0777777777777777,0.0583333333333332,0.0194444444444444,0.1097222222222222,0.1027777777777777,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.38125,0.06805555555555545,0.10624999999999996,0.012500000000000011,0.019444444444444493,0.006944444444444489,both_fail
2,1200,2011,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4569444444444444,0.4652777777777777,-0.0083333333333333,0.0611111111111111,0.0597222222222222,0.0013888888888888,0.1430555555555555,0.1430555555555555,-2.775557561562892e-17,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0027777777777777,False,False,False,True,False,0.461111111111111,0.060416666666666646,0.1430555555555555,0.008333333333333304,0.0013888888888889048,0.0,both_fail
