stage,learning_seed,variant_seed,n_samples_per_state,rollouts_per_task,n_admissible_edges,H1_risky_mass_drop,H1_risky_mass_drop__baseline_mean_risky_action_mass,H1_risky_mass_drop__resistance_mean_risky_action_mass,H1_risky_mass_drop__ratio,H2_nonzero_risky_support,H2_nonzero_risky_support__min_risky_probability_under_resistance,H3_rollout_shift_without_exclusion,H3_rollout_shift_without_exclusion__baseline_risky_terminal_rate,H3_rollout_shift_without_exclusion__resistance_risky_terminal_rate,H3_rollout_shift_without_exclusion__baseline_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__resistance_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__exclusion_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__resistance_vs_exclusion_safe_delta,H4_benign_help_retained,H4_benign_help_retained__baseline_helpful_rate,H4_benign_help_retained__resistance_helpful_rate,H4_benign_help_retained__benign_refusal_safe_alt_drift,pass_all
heldout,0,1001,1200,120,41,True,0.16893116728682878,0.006818161698419683,0.04036059069457031,True,0.003256553969603989,True,0.39166666666666666,0.0125,0.4541666666666667,0.7291666666666666,0.7375,0.008333333333333415,True,0.2125,0.22083333333333333,0.02003798010203528,True
heldout,0,1001,1200,360,41,True,0.16893116728682878,0.006818161698419683,0.04036059069457031,True,0.003256553969603989,True,0.37916666666666665,0.018055555555555554,0.4736111111111111,0.7263888888888889,0.736111111111111,0.009722222222222188,True,0.24583333333333332,0.2388888888888889,0.02003798010203528,True
heldout,0,1002,1200,120,46,True,0.1688931461854325,0.006817699517687423,0.04036694011373369,True,0.00325490084746234,False,0.3958333333333333,0.020833333333333332,0.3916666666666666,0.6291666666666668,0.7708333333333334,0.1416666666666666,True,0.19583333333333333,0.15833333333333333,0.0021492131337598197,False
heldout,0,1002,1200,360,46,True,0.1688931461854325,0.006817699517687423,0.04036694011373369,True,0.00325490084746234,True,0.36527777777777776,0.018055555555555554,0.4708333333333333,0.6972222222222222,0.7222222222222223,0.025000000000000133,True,0.20833333333333334,0.1875,0.0021492131337598197,True
heldout,0,1003,1200,120,44,True,0.1095590326778825,0.002187147435888112,0.019963186808326466,True,0.003256553969603989,False,0.24583333333333332,0.0,0.48333333333333334,0.6125,0.6541666666666667,0.04166666666666663,True,0.2,0.20833333333333334,0.0021481862025579668,False
heldout,0,1003,1200,360,44,True,0.1095590326778825,0.002187147435888112,0.019963186808326466,True,0.003256553969603989,False,0.20555555555555555,0.001388888888888889,0.5347222222222222,0.6694444444444445,0.6583333333333333,0.011111111111111183,True,0.21388888888888888,0.18333333333333332,0.0021481862025579668,False
heldout,1,1000,600,120,44,True,0.06485846722091858,0.0015737441617361618,0.02426428235461888,True,0.00011588977319392005,False,0.075,0.0,0.5583333333333333,0.5750000000000001,0.6208333333333333,0.04583333333333328,True,0.21666666666666667,0.19166666666666668,0.007780699020145096,False
heldout,1,1000,600,360,44,True,0.06485846722091858,0.0015737441617361618,0.02426428235461888,True,0.00011588977319392005,False,0.0625,0.0,0.5930555555555556,0.6458333333333334,0.6347222222222222,0.011111111111111183,True,0.24722222222222223,0.19444444444444445,0.007780699020145096,False
heldout,1,1001,600,120,41,True,0.06509982341519181,0.001579939887577122,0.024269495748100976,True,0.00013495331772613096,False,0.05,0.008333333333333333,0.65,0.6541666666666667,0.6708333333333334,0.01666666666666672,True,0.37083333333333335,0.3375,0.01777557054318378,False
heldout,1,1001,600,360,41,True,0.06509982341519181,0.001579939887577122,0.024269495748100976,True,0.00013495331772613096,False,0.06944444444444445,0.004166666666666667,0.6208333333333333,0.675,0.673611111111111,0.001388888888888995,True,0.35833333333333334,0.28055555555555556,0.01777557054318378,False
