learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal
0,1200,2000,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.4444444444444445,0.45138888888888884,-0.006944444444444364,0.14999999999999997,0.15416666666666667,-0.004166666666666707,0.26666666666666666,0.2569444444444444,0.009722222222222243,True,True,True,True,True,True,True,True,True,True,0.009722222222222222,0.011111111111111112
0,1200,2001,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4625,0.43472222222222223,0.02777777777777779,0.15833333333333333,0.1791666666666667,-0.02083333333333337,0.25833333333333336,0.28055555555555556,-0.0222222222222222,True,True,True,True,True,True,True,True,True,True,0.006944444444444444,0.006944444444444444
0,1200,2002,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.4625,0.46111111111111114,0.001388888888888884,0.1777777777777777,0.16527777777777775,0.012499999999999956,0.27222222222222225,0.2791666666666667,-0.00694444444444442,True,True,True,True,True,True,True,True,True,True,0.002777777777777778,0.004166666666666667
0,1200,2003,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.525,0.5125,0.012500000000000067,0.14583333333333326,0.15833333333333344,-0.012500000000000178,0.22916666666666669,0.24166666666666667,-0.012499999999999983,True,True,True,True,False,True,True,True,False,True,0.001388888888888889,0.002777777777777778
0,1200,2004,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.475,0.45833333333333337,0.016666666666666607,0.14861111111111114,0.1680555555555555,-0.019444444444444375,0.1847222222222222,0.20277777777777778,-0.018055555555555575,True,True,True,True,False,True,True,True,False,True,0.004166666666666667,0.005555555555555556
0,1200,2005,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.5625,0.5527777777777778,0.009722222222222188,0.11527777777777781,0.12916666666666654,-0.013888888888888729,0.20555555555555555,0.22222222222222224,-0.01666666666666669,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.001388888888888889
0,1200,2006,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4861111111111111,0.47500000000000003,0.011111111111111072,0.1736111111111111,0.19027777777777782,-0.01666666666666672,0.21666666666666667,0.22916666666666666,-0.012499999999999983,True,True,True,True,True,True,True,True,True,True,0.006944444444444444,0.006944444444444444
0,1200,2007,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4722222222222222,0.45694444444444443,0.015277777777777779,0.21944444444444444,0.23888888888888887,-0.01944444444444443,0.3472222222222222,0.3597222222222222,-0.012500000000000011,True,True,True,True,True,True,True,True,True,True,0.018055555555555554,0.016666666666666666
0,1200,2008,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5597222222222222,0.5402777777777779,0.019444444444444375,0.12083333333333335,0.15694444444444433,-0.03611111111111098,0.225,0.24444444444444444,-0.01944444444444443,True,True,True,True,False,True,True,True,False,True,0.005555555555555556,0.006944444444444444
0,1200,2009,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4722222222222222,0.45416666666666666,0.018055555555555547,0.17500000000000004,0.19444444444444448,-0.01944444444444443,0.2513888888888889,0.2625,-0.011111111111111127,True,True,True,True,True,True,True,True,True,True,0.005555555555555556,0.006944444444444444
