learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal,original_present_minus_absent_H3_rate,original_sign
5,2400,3001,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4125,0.40694444444444444,0.005555555555555536,0.12083333333333335,0.125,-0.004166666666666652,0.2652777777777778,0.26666666666666666,-0.001388888888888884,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778,-0.0625,-1
5,2400,3002,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4361111111111111,0.41527777777777775,0.02083333333333337,0.11805555555555558,0.14583333333333337,-0.02777777777777779,0.2625,0.275,-0.012500000000000011,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.004166666666666667,-0.0625,-1
5,2400,3003,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.4708333333333333,0.475,-0.004166666666666652,0.11388888888888893,0.10694444444444451,0.00694444444444442,0.2541666666666667,0.2472222222222222,0.006944444444444503,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3004,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4361111111111111,0.41527777777777775,0.02083333333333337,0.11805555555555558,0.14583333333333337,-0.02777777777777779,0.2625,0.275,-0.012500000000000011,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.004166666666666667,-0.0625,-1
5,2400,3005,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4652777777777778,0.46805555555555556,-0.002777777777777768,0.1166666666666667,0.11527777777777781,0.001388888888888884,0.2611111111111111,0.2569444444444445,0.004166666666666652,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.39305555555555555,0.4083333333333333,-0.015277777777777779,0.16111111111111115,0.13194444444444442,0.02916666666666673,0.3125,0.3055555555555556,0.00694444444444442,True,True,True,True,True,False,True,True,True,False,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3007,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.39444444444444443,0.4041666666666667,-0.009722222222222243,0.1736111111111111,0.17500000000000004,-0.0013888888888889395,0.33611111111111114,0.3375,-0.001388888888888884,True,True,True,True,True,True,True,True,True,True,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3008,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4097222222222222,0.40555555555555556,0.004166666666666652,0.12777777777777777,0.14444444444444438,-0.016666666666666607,0.2638888888888889,0.2611111111111111,0.002777777777777768,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.004166666666666667,-0.0625,-1
5,2400,3009,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.3819444444444444,0.37916666666666665,0.002777777777777768,0.20138888888888895,0.2069444444444445,-0.005555555555555536,0.3180555555555556,0.33055555555555555,-0.012499999999999956,True,True,True,True,True,True,True,True,True,True,0.005555555555555556,0.004166666666666667,-0.0625,-1
5,2400,3010,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.43333333333333335,0.44027777777777777,-0.00694444444444442,0.20694444444444438,0.18194444444444446,0.02499999999999991,0.27083333333333337,0.27083333333333337,0.0,True,True,True,True,True,True,True,True,True,True,0.004166666666666667,0.005555555555555556,-0.0625,-1
5,2400,3011,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.30694444444444446,0.3,0.006944444444444475,0.23472222222222217,0.24861111111111117,-0.013888888888889006,0.39722222222222225,0.4111111111111111,-0.01388888888888884,True,True,True,True,True,True,True,True,True,True,0.019444444444444445,0.013888888888888888,-0.0625,-1
5,2400,3012,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.49027777777777776,0.4861111111111111,0.004166666666666652,0.1208333333333334,0.10694444444444445,0.01388888888888895,0.27083333333333337,0.2791666666666667,-0.008333333333333304,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.004166666666666667,-0.0625,-1
5,2400,3013,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4666666666666667,0.4708333333333333,-0.004166666666666652,0.1166666666666667,0.11111111111111116,0.005555555555555536,0.25972222222222224,0.2527777777777778,0.00694444444444442,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3014,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.41388888888888886,0.4125,0.001388888888888884,0.1333333333333333,0.125,0.008333333333333304,0.27361111111111114,0.2708333333333333,0.0027777777777778234,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.001388888888888889,-0.0625,-1
5,2400,3015,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.39305555555555555,0.4097222222222222,-0.016666666666666663,0.16111111111111115,0.13611111111111107,0.025000000000000078,0.3125,0.3041666666666667,0.008333333333333304,True,True,True,True,True,False,True,True,True,False,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3016,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.30694444444444446,0.2986111111111111,0.00833333333333336,0.23472222222222217,0.24861111111111117,-0.013888888888889006,0.39722222222222225,0.4111111111111111,-0.01388888888888884,True,True,True,True,True,True,True,True,True,True,0.019444444444444445,0.013888888888888888,-0.0625,-1
5,2400,3017,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4444444444444444,0.425,0.01944444444444443,0.12222222222222223,0.1388888888888889,-0.016666666666666663,0.2541666666666667,0.26805555555555555,-0.01388888888888884,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.002777777777777778,-0.0625,-1
5,2400,3018,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3819444444444444,0.3680555555555555,0.013888888888888895,0.12083333333333335,0.14305555555555555,-0.0222222222222222,0.3041666666666667,0.3125,-0.008333333333333304,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.002777777777777778,-0.0625,-1
5,2400,3019,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.4444444444444444,0.425,0.01944444444444443,0.12222222222222223,0.1388888888888889,-0.016666666666666663,0.2541666666666667,0.26805555555555555,-0.01388888888888884,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.002777777777777778,-0.0625,-1
5,2400,3020,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.40555555555555556,0.4125,-0.00694444444444442,0.23333333333333328,0.22499999999999998,0.008333333333333304,0.3611111111111111,0.3527777777777778,0.008333333333333304,True,True,True,True,True,True,True,True,True,True,0.005555555555555556,0.004166666666666667,-0.0625,-1
5,2400,3021,benign_assessed,clarify,edge__benign_assessed__clarify,41,40,0.44166666666666665,0.45,-0.00833333333333336,0.1791666666666667,0.1555555555555555,0.023611111111111194,0.26666666666666666,0.26666666666666666,0.0,True,True,True,True,True,True,True,True,True,True,0.004166666666666667,0.004166666666666667,-0.0625,-1
5,2400,3022,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.39305555555555555,0.4041666666666667,-0.011111111111111127,0.175,0.17500000000000004,-5.551115123125783e-17,0.33611111111111114,0.3375,-0.001388888888888884,True,True,True,True,True,True,True,True,True,True,0.005555555555555556,0.005555555555555556,-0.0625,-1
5,2400,3023,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4666666666666667,0.4652777777777778,0.001388888888888884,0.11250000000000004,0.12361111111111112,-0.011111111111111072,0.2611111111111111,0.2569444444444445,0.004166666666666652,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.004166666666666667,-0.0625,-1
